date,time,Comp,Round,fbref_home_team,home_xg,home_goals,away_goals,away_xg,fbref_away_team,MatchURL,matchup,stad_lat,stad_long,fotmob_match_id,understat_match_id,sofascore_match_id,espn_match_id
2021-12-22,18:30,Serie A,Matchweek 19,Hellas Verona,1.1,1,1,1,Fiorentina,https://fbref.com/en/matches/efd40d81/Hellas-Verona-Fiorentina-December-22-2021-Serie-A,Hellas Verona-Fiorentina,45.43548118,10.96862146,3657184,16938,9645236,614739
2017-01-28,15:30,Bundesliga,Matchweek 18,Ingolstadt 04,1.41586,3,1,0.491104,Hamburger SV,https://fbref.com/en/matches/a13ee157/Ingolstadt-04-Hamburger-SV-January-28-2017-Bundesliga,Ingolstadt 04-Hamburger SV,48.74564,11.48576,2272455,3734,7108436,456741
2023-01-11,19:00,Ligue 1,Matchweek 18,Nantes,1.1,0,0,0.5,Lyon,https://fbref.com/en/matches/b34687b5/Nantes-Lyon-January-11-2023-Ligue-1,Nantes-Lyon,47.25563,-1.525375,3904665,19822,10389984,639783
2018-11-10,18:30,Bundesliga,Matchweek 11,Dortmund,2.5,3,2,2.1,Bayern Munich,https://fbref.com/en/matches/80e16d9f/Der-Klassiker-Dortmund-Bayern-Munich-November-10-2018-Bundesliga,Dortmund-Bayern Munich,51.49257,7.451842,2803787,10428,7851702,517794
2020-10-25,18:00,Serie A,Matchweek 5,Fiorentina,1.2,3,2,1.8,Udinese,https://fbref.com/en/matches/64b18020/Fiorentina-Udinese-October-25-2020-Serie-A,Fiorentina-Udinese,43.78102079,11.2825717,3428970,15469,8970444,583119
2014-11-01,20:45,Serie A,Matchweek 10,Parma,1.67779,2,0,0.525,Inter,https://fbref.com/en/matches/038c2ffc/Parma-Internazionale-November-1-2014-Serie-A,Parma-Inter,44.79516,10.33845,1786069,5032,5785930,403742
2017-04-08,15:30,Bundesliga,Matchweek 28,Schalke 04,1.64298,4,1,1.59019,Wolfsburg,https://fbref.com/en/matches/02807579/Schalke-04-Wolfsburg-April-8-2017-Bundesliga,Schalke 04-Wolfsburg,51.5545,7.067589,2272542,3824,7108524,456651
2020-12-17,18:00,Premier League,Matchweek 13,Aston Villa,2,0,0,0.4,Burnley,https://fbref.com/en/matches/5d89f60c/Aston-Villa-Burnley-December-17-2020-Premier-League,Aston Villa-Burnley,52.509167,-1.884722,3411470,14556,8896990,578534
2016-09-10,15:00,Premier League,Matchweek 4,West Ham,1.32216,2,4,1.85479,Watford,https://fbref.com/en/matches/9fa09995/West-Ham-United-Watford-September-10-2016-Premier-League,West Ham-Watford,51.53194,0.039444,2252221,497,7090032,450976
2019-01-01,12:30,Premier League,Matchweek 21,Everton,1.1,0,1,0.5,Leicester City,https://fbref.com/en/matches/6cbc15a7/Everton-Leicester-City-January-1-2019-Premier-League,Everton-Leicester City,53.43889,-2.966389,2782158,9402,7828027,513634
