key_wikidata,name,alias
Q5042053,Carlos Espinoza,Carlos Alberto Espinoza Loayza
Q135152905,Mawokota FC,Ssaza Mawokota FC
Q56724888,Gonzalo Rodríguez,Gonzalo Ezequiel Rodriguez
Q7791191,Thomas Jacques,Thomas Edgar Jacques
Q5104485,Chonbuk Buffalo FC,Chonbuk Xter FC
Q125850980,Gerrit de Groote,Gerrit Albertus de Groote
Q131724969,FC Mostyska,Mostyska
Q3955912,Sergei Malyshev,Sergey Yuryevich Malyshev
Q4075746,Talgat Baysufinov,Talgat Maruanuly Baysufinov
Q7436933,Scott Murray,Scott George Murray
Q110272945,Fred Goss,Frederick Charles Goss
Q20090150,Luis Daniel Arroyo,Luis Daniel Arroyo Cabrera
Q6061442,Erdoğan Demirören,Erdogan Demiroren
Q84570877,Regő Szánthó,Rego Szantho
Q1708545,Joshua Brillante,"Joshua ""Josh"" Brillante"
Q23002845,Gerson Torres,Gerson Torres Barrantes
Q7454579,Serhiy Kozlov,Sergey Kozlov
Q56403249,Iván de Nova Ruiz,Iván de Nova
Q23817748,SK Babīte,Sporta Klubs Babīte
Q79427719,Jaroslav Michel,Jaroslav Michl
Q60197031,Federico Lionel Segovia,Federico Segovia
Q6988914,Neil Maddison,Neil Stanley Maddison
Q1446638,Ercole Bodini,Bodini I
Q8007107,William Cope,William Arthur Cope
Q72424034,Lucca Farias,Lucca Farias Di Giuseppe
Q3619646,Antonio Giammarinaro,Antonio Gianmarinaro
Q6243887,John Lambie,John Alexander Lambie
Q5401936,Esty Amukwaya,Esther Amukwaya
Q19979417,Roman Shapovalov,Roman Borisovich Shapovalov
Q309095,New England Revolution,Revolution Soccer
Q7611994,Steve Book,Steven Kim Book
Q4140000,Gloucester City A.F.C.,The Tigers
Q68430567,Gerhard Bode,Gerd Bode
Q249146,László Éger,Laszlo Eger
Q26405010,João Paulo Lázaro Lucas,João Lucas
Q33126503,Luis Marcelo Salas,Luis Marcelo Salas Candia
Q966811,Ion Alecsandrescu,Ion Alexandrescu
Q6765004,Mario Vanemerak,Mario Alberto Vanemerak
Q6415495,Kirk Millar,Kirk Steven Millar
Q7272117,Quincy Amarikwa,Quincy Obinna Amarikwa
Q19498,Sheffield Wednesday F.C.,Sheff Wed
Q2402742,Léandre Griffit,Leandre Griffit
Q459090,Club América,Club de Fútbol América
Q3316178,Mersad Kovačević,Mirsad Günes
Q548629,Alberto Suppici,Alberto Horacio Suppici
Q4799912,Arthur Papas,Arthur Papastamatis
Q5934053,Jonathan Rodríguez Cuenu,Jonathan Cuenú
Q2318767,Vicente Revellón,Vicente Revellon
Q14304469,Boli Bolingoli-Mbombo,Boli Bolingoli
Q701265,Douglas da Silva,Douglas Wilson Barros da Silva
