key_wikidata,type,name,full_name,date_of_birth,nationality,position,height_cm,key_transfermarkt,key_transfermarkt_manager,key_fbref,key_soccerway,key_sofascore,key_flashscore,key_opta,key_premier_league,key_11v11,key_espn,key_national_football_teams,key_worldfootball,key_soccerbase,key_kicker
Q4390797,player,Konstantin Ratnikov,,1913-07-06,Soviet Union,forward,,,,,,,,,,,,,,,
Q638772,player,Reinhold Mathy,,1962-04-12,Germany,forward,,78761,,,,,,,,,,,reinhold-mathy,,reinhold-mathy
Q105724403,player,Anastasia Steiner,,,Austria,defender,,,,,,,,,,,,,,,
Q136674416,player,Dmytro Rozhko,,2005-02-24,Ukraine,midfielder,184.0,,,,,,,,,,,,,,
Q22958574,player,Treika Blé,,1992-02-26,Ivory Coast,midfielder,,521461,,aae8aa1f,431691,864652,,,,,,,,,
Q4925696,player,Blažo Perutović,,1983-12-08,Montenegro,forward,,61230,,,44370,,,,,,,,,,blazo-perutovic
Q111168895,player,George Taylor,,,,,,,,,,,,,,,,,,,
Q6173233,player,Jeff Aryer,,1987-11-15,Ghana,defender,,112872,,,,,,,,,,,,,
Q6387480,player,Ken Coote,,1929-05-19,United Kingdom of Great Britain and Ireland,inside forward,,743607,,,,,,,,,,,ken-coote,1647,
Q15844006,coach,Santiago Baños,,1976-06-28,Mexico,,,,15199,eb64cd3d,,,,,,,,,,,
Q499722,player,Andreas Müller,,1971-12-11,Germany,,,84659,,,,,,,,,,,andreas-mueller_3,,andreas-mueller-4
Q57586200,player,Jahongir Abdumominov,,1993-02-09,Uzbekistan,forward,178.0,236087,,,131775,,,,,,,48398,,,
Q48816322,player,Robert Allan,,,,goalkeeper,,,,,,,,,,,,,,,
Q4911172,player,Bill Towers,,1920-07-13,United Kingdom of Great Britain and Ireland,midfielder,,,,,,,,,,,,,,,
Q7235890,player,Povilas Valinčius,,1989-11-16,Lithuania,goalkeeper,,119726,,e5bd3e9a,122995,,,,,,,,,,povilas-valincius
Q7878781,player,Ulaş Güler,,1980-04-08,Turkey,goalkeeper,,41001,,2b2c1074,,43623,,,,,,,,,
Q47545724,player,John Finlay,,1919-02-16,,inside forward,,,,,,,,,,,,,,,
Q107695093,player,Austine Igbinosa,,1980-12-19,Togo,,,,,,,,,,,,,,,,
Q17712837,player,Jairo Morillas,,1993-07-02,Spain,forward,,126741,,a0414cb4,153319,,,,,,,,jairo_11,,jairo-morillas
Q97744030,player,Laura Birne,,1996-11-28,Germany,defender,,,,,,,,,,,,,laura-birne,,
Q135298180,player,Luka Lijeskić,,2005-02-23,,,,,,,,,,,,,,,luka-lijeskic,,
Q56433805,player,Karol Fila,,1998-06-13,Poland,defender,180.0,385817,,50ac8941,475040,871041,,,,,,,,,karol-fila
Q1118684,player,Rune Pedersen,,1963-05-19,Norway,,,,,,,,,,,,,,,,
Q59919429,player,Frank Shanley,,1889-01-01,,goalkeeper,,,,,,,,,,,,,,,
Q3028760,player,Geoff Thomas,,1964-08-05,United Kingdom,midfielder,178.0,222541,,6e7dda12,,,,,165,2513,,15512,geoff-thomas,7880,geoffrey-thomas
Q123405326,player,Rion Ichihara,,2005-07-07,Japan,centre-back,,936294,,3c9fe53d,910316,1499691,,,,,,,rion-ichihara,,
Q66360557,player,Mike Williams,,1956-12-01,United Kingdom,midfielder,,,,,,,,,,,,,,,
Q7290583,player,Ramón Ávila,,1982-02-20,Chile,forward,,,,,65083,,,,,,,,,,
Q137162219,player,Q137162219,,1934-10-19,Yugoslavia,,,,,,,,,,,,,,,,
Q101491495,player,Levi Andoh,,2000-03-12,,,,,,,681096,,,,,,,,,136072,
Q136144908,player,Q136144908,,1999-03-21,,,,,,,,,,,,,,,,,
Q23927873,player,Franco Aragón,,1994-05-04,Argentina,midfielder,,,,a34eb64e,,,,,,,,,,,
Q2517206,player,Ilkka Remes,,1963-07-29,Finland,full-back,,180304,,e42ff914,,,,,,,,35003,ilkka-remes,,
Q3888369,player,Pablo Cardozo,,1972-12-23,Argentina,forward,,81475,,7748b7dd,,,,,,,,12804,,,
Q132593839,player,Q132593839,,1972-02-17,Sweden,,,,,,,,,,,,,,,,
Q18637428,player,Justin Grioli,,1987-09-20,Malta,full-back,,81604,,6f71a353,39414,54612,,,,,,57414,,,justin-grioli
Q1124693,player,Benbella Benmiloud,,1958-01-01,Algeria,goalkeeper,,445799,,,,,,,,,,50740,,,
Q16716128,player,Davit Chagelishvili,,1987-01-10,Georgia,forward,,79210,,,35094,,,,,,,,davit-chagelishvili,,davit-chagelishvili
Q131520126,player,Arvid Wiklund,,2005-04-11,Sweden,,,,,,,,,,,,,,,,
Q98086039,player,Fabíola Hilario Modesto,,2001-04-02,Brazil,defender,,,,,,,,,,,,,,,
Q30302995,player,Reggie Cannon,Reginald Jacob Cannon,1998-06-11,United States,defender,,478940,,ad9ffc7e,475974,864226,,,,,,72322,reggie-cannon,190,reggie-cannon
Q105716756,player,Claudia Sánchez,,2002-03-26,Spain,midfielder,,,,,,,,,,,,,,,
Q79779224,player,Oskar Böhr,,1850-01-01,Germany,,,,,,,,,,,,,,oskar-boehr,,
Q1525892,player,Markus Lösch,,1971-09-26,Germany,midfielder,,432,,,,,,,,,,,markus-loesch,,markus-loesch
Q105567914,player,Billy Bates,,1922-01-13,,,,,,,,,,,,,,,,,
Q2295693,player,Pietro Genovesi,,1902-06-27,Kingdom of Italy,midfielder,,359314,,,,,,,,,,28020,pietro-genovesi,,pietro-genovesi
Q20641402,player,Sergei Romanov,,1983-03-11,Russia,defender,174.0,,,,,,,,,,,,,,
Q3085829,player,François Sermon,,1923-03-31,Belgium,midfielder,,308503,,,,,,,,,,25879,,,
Q58808581,player,Carlos Heredia,,1998-09-28,Dominican Republic,forward,180.0,530729,,392e64ed,496653,920598,,,,,,71891,,,
Q100103810,player,Florinel Sandu,,2001-01-23,Romania,,,804240,,f0b08c0d,665960,1471736,,,,,,,florinel-sandu,,
