reep_id,key_wikidata,name,competition_reep_id
reep_s0081dae3,Q581439,1898 Italian Football Championship,
reep_sf3d3d1db,Q960412,1899 Italian Football Championship,
reep_s3ea25909,Q221932,1900 Italian Football Championship,
reep_s462fea54,Q2527209,1900 Uruguayan Primera División,
reep_sc2d76283,Q1071938,1901 Italian Football Championship,
reep_sf92eb966,Q2526914,1901 Uruguayan Primera División,
reep_s0a2849be,Q784344,1902 Italian Football Championship,
reep_sdac8a47a,Q367892,1902 Uruguayan Primera División,
reep_s880b9ea9,Q246661,1903 Italian Football Championship,
reep_s448df7ca,Q2526920,1903 Uruguayan Primera División,
reep_sd46c0b64,Q1087017,1904 Italian Football Championship,
reep_s70403087,Q1087005,1905 Italian Football Championship,
reep_s250b8431,Q2526408,1905 Uruguayan Primera División,
reep_s82c624f3,Q1086966,1906 Italian Football Championship,
reep_s3caebc2f,Q3557678,1906 SEGAS Championship,
reep_s514a6b94,Q2526398,1906 Uruguayan Primera División,
reep_sc37be79e,Q931957,1906–07 Panhellenic Championship,
reep_s0f394af2,Q1087012,1907 Italian Football Championship,
reep_s89555aa9,Q2526828,1907 Uruguayan Primera División,
reep_s06483703,Q795597,1908 Italian Football Championship,
reep_s53b5574d,Q3566229,1908 SEGAS Championship,
reep_se5391507,Q931201,1908 Uruguayan Primera División,
reep_sfec3c1bc,Q3557693,1908–09 Panhellenic Championship,
reep_s4fa2ceee,Q928795,1909 Italian Football Championship,
reep_s18788249,Q2526761,1909 Uruguayan Primera División,
reep_sd2ea23e7,Q205482,1909–10 Italian Football Championship,
reep_s6374fd36,Q3557582,1910 SEGAS Championship,
reep_s5e987361,Q738341,1910 Uruguayan Primera División,
reep_s63896eeb,Q1083345,1910–11 Italian Football Championship,
reep_s92b014bf,Q431811,1910–11 SEGAS Championship,
reep_sc4508b2c,Q3557630,1911 SEGAS Championship,
reep_s23c1888c,Q2504906,1911 Uruguayan Primera División,
reep_sc508b618,Q377420,1911–12 Italian Football Championship,
reep_sd605dd79,Q14465887,1912 SEGAS Championship,
reep_s02c4950a,Q2504110,1912 Uruguayan Primera División,
reep_s84e42e00,Q655649,1912–13 Italian Football Championship,
reep_s38d2bbaa,Q2503870,1913 Uruguayan Primera División,
reep_s8b663835,Q1675097,1913–14 Italian Football Championship,
reep_saea30bc9,Q2504699,1914 Uruguayan Primera División,
reep_s3fe4498d,Q1675098,1914–15 Italian Football Championship,
reep_sea12b2d2,Q2504656,1915 Uruguayan Primera División,
reep_sab84991d,Q2504678,1916 Uruguayan Primera División,
reep_se636c507,Q2505414,1917 Uruguayan Primera División,
reep_s0d7c6f4d,Q2505394,1918 Uruguayan Primera División,
reep_s5e40946d,Q1114350,1919 Uruguayan Primera División,
reep_s2a83d739,Q1675095,1919–20 Italian Football Championship,
reep_scf1d63ee,Q2504629,1920 Uruguayan Primera División,
reep_s80ffab10,Q1675092,1920–21 Italian Football Championship,
reep_sabd3c52c,Q2504645,1921 Uruguayan Primera División,
reep_sb4352f7a,Q4561130,1921–22 FCA Championship,
reep_scc33b477,Q1675091,1921–22 Prima Categoria,
reep_sd01c0e87,Q2245619,1921–22 Prima Divisione,
reep_s37df7951,Q165913,1922 Uruguayan Primera División,
reep_s1afe3384,Q3566256,1922–23 Panhellenic Championship,
reep_sc5d4d9c7,Q1675105,1922–23 Prima Divisione,
reep_sa427b223,Q165908,1923 Uruguayan Primera División,
reep_s90384ffe,Q1675106,1923–24 Prima Divisione,
reep_sf5095dc0,Q181183,1924 Uruguayan Primera División,
reep_sf003d860,Q943196,1924–25 Allsvenskan,
reep_s61ab857c,Q1675111,1924–25 Prima Divisione,
reep_s04247e20,Q4561767,1925 Uruguayan Primera División,
reep_s39248bc9,Q264547,1925–26 Allsvenskan,
reep_s52458746,Q516954,1925–26 Prima Divisione,
reep_s63496aea,Q181188,1926 Uruguayan Primera División,
reep_s66a56cff,Q944982,1926–27 Allsvenskan,
reep_s5fa0d937,Q1675114,1926–27 Divisione Nazionale,
reep_s628020a9,Q3911661,1926–27 Prima Divisione,
reep_sd80fdd36,Q3953916,1926–27 Seconda Divisione,
reep_s5ede984c,Q217656,1927 Uruguayan Primera División,
reep_s4be0ad50,Q944992,1927–28 Allsvenskan,
reep_s201e25fe,Q1601519,1927–28 Divisione Nazionale,
reep_s8fe1d23e,Q3544914,1927–28 Panhellenic Championship,
reep_s7ea0d8f8,Q217658,1928 Uruguayan Primera División,
reep_s1185984a,Q945029,1928–29 Allsvenskan,
reep_s7727fdd2,Q1675119,1928–29 Divisione Nazionale,
reep_s6b7c0459,Q12883001,1928–29 Panhellenic Championship,
reep_s8babd0b9,Q3911663,1928–29 Prima Divisione,
reep_sd0247ae0,Q695760,1929 La Liga,
reep_s97ee05ad,Q400099,1929 Uruguayan Primera División,
reep_se33756d6,Q516803,1929–30 Allsvenskan,
reep_sfecbfc17,Q695752,1929–30 La Liga,
reep_s339499c1,Q3566779,1929–30 Panhellenic Championship,
reep_se5910a83,Q3911664,1929–30 Prima Divisione,
reep_s2e73043f,Q826698,1929–30 Serie A,
reep_s6929baf8,Q1960472,1929–30 Serie B,
reep_seab9134f,Q378068,1930–31 Allsvenskan,
reep_sf3567836,Q223500,1930–31 La Liga,
reep_s76e34fce,Q3566767,1930–31 Panhellenic Championship,
reep_sc9fb2f65,Q747635,1930–31 Prima Divisione,
reep_scd6c2c11,Q597492,1930–31 Serie A,
reep_s66acd2d2,Q2117953,1930–31 Serie B,
reep_s858961fd,Q391449,1931 Uruguayan Primera División,
reep_sd6577886,Q1061461,1931–32 Allsvenskan,
reep_s8b242d32,Q627898,1931–32 La Liga,
reep_s597f3cbd,Q3566748,1931–32 Panhellenic Championship,
reep_s9151cebc,Q3911666,1931–32 Prima Divisione,
reep_s1206fa7f,Q763249,1931–32 Serie A,
reep_s6c548579,Q2117972,1931–32 Serie B,
reep_s2e1ee67c,Q2629185,1932 Uruguayan Primera División,
reep_sbbbacfc3,Q639767,1932–33 Allsvenskan,
reep_s8220f283,Q616704,1932–33 French Division 1,
reep_sdbf1b032,Q757305,1932–33 La Liga,
reep_s6c54a939,Q3566695,1932–33 Panhellenic Championship,
reep_s2f6844b9,Q3911667,1932–33 Prima Divisione,
