reep_id,key_wikidata,name,country,founded,stadium,key_transfermarkt,key_fbref,key_soccerway,key_opta,key_kicker,key_flashscore,key_sofascore,key_soccerbase,key_uefa,key_footballdatabase_eu,key_worldfootball,key_espn,key_playmakerstats,key_clubelo,key_sportmonks,key_api_football,key_sofifa,key_fotmob,key_thesportsdb,key_understat,key_opta_numeric
reep_te8766ef1,Q113151727,(cuadro chico),,,,,,,,,,,,,,,,,,,,,,,,
reep_tf049dc2d,Q161217,07 Vestur,Faroe Islands,2007-11-06,,27811,,10597,,,,,,,,,,,,,,,,,,
reep_t688bf999,Q121408767,1 Ladakh FC,,,,,,,,,,,,,,,,,,,,,,,,
reep_t312507b6,Q161774,1. Bockenheimer FC 1899,Germany,1899-01-01,,,,,,,,,,,,,,,,,,,,,,
reep_ta59b1124,Q162007,1. CfR Pforzheim,Germany,2010-01-01,Stadion im Brötzinger Tal,,,,,,,,,,,,,,,,,,,,,
reep_t4e3f8d77,Q162006,1. DFC Leoben,Austria,1976-01-01,,,,,,,,,,,,,,,,,,,,,,
reep_ta6959b4f,Q162195,1. FC 08 Birkenfeld,Germany,1908-07-01,,,,,,,,,,,,,,,,,,,,,,
reep_t5f153773,Q162200,1. FC Aschersleben,Germany,1993-01-01,,,,,,,,,,,,,,,,,,,,,,
reep_t3bc12af3,Q162205,1. FC Bad Kötzting,Germany,1921-01-01,,,,,,,,,,,,,,,,,,,,,,
reep_ta8ee7bf0,Q162196,1. FC Bamberg,Germany,1901-01-01,,,,,,,,,,,,,,,,,,,,,,
reep_taf5d9b26,Q162204,1. FC Bayreuth,Germany,1910-01-01,,,,,,,,,,,,,,,,,,,,,,
reep_t9f45dc82,Q162213,1. FC Bocholt,Germany,1900-01-01,Q2326114,,,1-fc-bocholt,,,,,,,,,,,,,,,,,,
reep_tfc5ee0c2,Q1995657,1. FC Breslau,Nazi Germany,1934-01-01,,,,,,,,,,,,,,,,,,,,,,
reep_t57f4ee71,Q162207,1. FC Burg,Germany,1957-01-01,,,,,,,,,,,,,,,,,,,,,,
reep_tfb783194,Q54801990,1. FC Düren,Germany,2017-11-30,,67453,,,,,,,,,,,,,,,,,,,,
reep_t1b084fe9,Q162220,1. FC Eschborn,Germany,1930-01-01,,,,,,,,,,,,,,,,,,,,,,
reep_t4e38f703,Q286577,1. FC Frankfurt,Germany,2012-01-01,Stadion der Freundschaft,706,,,,,,,,,,1-fc-frankfurt-oder,,,,,,,,,,
reep_tf94745a6,Q162230,1. FC Gera 03,Germany,2003-01-01,,,,,,,,,,,,,,,,,,,,,,
reep_t54a9de4b,Q162227,1. FC Germania 08 Ober-Roden,Germany,1908-04-10,,,,,,,,,,,,,,,,,,,,,,
reep_t410ad4ba,Q162231,1. FC Gievenbeck,Germany,1949-01-01,,,,,,,,,,,,,,,,,,,,,,
reep_t631d3a2d,Q162241,1. FC Haßfurt,Germany,1917-01-01,,,,,,,,,,,,,,,,,,,,,,
reep_ta0479e73,Q162251,1. FC Heidenheim 1846,Germany,2007-01-01,Voith-Arena,2036,18d9d2a7,,,,,,,2603791,6696,,,13705,,,,,94937,,,
reep_t6f0d4b08,Q162242,1. FC Hersbruck,Germany,1906-01-01,,,,,,,,,,,,,,,,,,,,,,
reep_t58442556,Q24286823,1. FC Kaan-Marienborn,Germany,,Herkules Arena,,,32207,,,,,,,,,,,,,,,,,,
reep_t20fb1e6c,Q8466,1. FC Kaiserslautern,Germany,1900-01-01,Fritz Walter Stadium,2,,,,,,,,3695,68,,,,,,,,,,,
reep_t2f38c177,Q112712530,1. FC Katowice,,2007-04-13,,,,,,,,,,,,,,,,,,,,,,
reep_tfb1d338c,Q162261,1. FC Katowice (women),Poland,2007-01-01,,,,,,,,,,,,,,,,,,,,,,
reep_tfdf0a433,Q162258,1. FC Kattowitz,Poland,1905-01-01,,,,,,,,,,,,,,,,,,,,,,
